POINT(13.409168199999998 52.4903223990884)
POINT(13.369253599999999 52.51512729908766)
POINT(13.5251598 52.49574609908824)
POINT(13.3965897 52.50486839908796)
POINT(13.365917 52.50189089908805)
POINT(13.4442797 52.501426399088075)
POINT(13.1334847 52.39439099909201)
POINT(13.272155499999998 52.50935739908784)
POINT(13.2948344 52.52641119908734)
POINT(13.483299499999998 52.50460389908797)
POINT(13.410620099999997 52.55279789908666)
POINT(13.3501167 52.541940799086916)
POINT(13.370619999999999 52.56364479908637)
POINT(13.233042599999997 52.52284559908744)
POINT(13.6186406 52.53096009908723)
POINT(13.3439105 52.45573639908959)
POINT(13.1944643 52.4311734990905)
POINT(13.4806484 52.4872891990885)
POINT(13.3209965 52.50876969908783)
POINT(13.295889399999998 52.520166199087505)
POINT(13.274587099999998 52.57911449908605)
POINT(13.371817 52.508766899087824)
POINT(13.336379400000002 52.52385899908741)
POINT(13.421108699999998 52.43252449909045)
POINT(13.436011399999998 52.50533059908795)
POINT(13.400844799999998 52.56578389908635)
POINT(13.3061926 52.50804379908788)
POINT(13.4267372 52.52786249908732)
POINT(13.5589909 52.542881099086905)
POINT(13.342976 52.57436759908615)
POINT(13.4348713 52.5349580990871)
POINT(13.3506458 52.5772167990861)
POINT(13.255712299999999 52.43191589909048)
POINT(13.3247783 52.50802359908786)
POINT(13.344760999999998 52.51995059908752)
POINT(13.5285153 52.505089899087935)
POINT(13.280982099999997 52.49194949908835)
POINT(13.328288199999998 52.44241189909008)
POINT(13.354200999999998 52.497408299088185)
POINT(13.322837199999999 52.4997778990881)
POINT(13.2730028 52.455855599089595)
POINT(13.342752699999998 52.50309619908802)
POINT(13.3888163 52.51590909908764)
POINT(13.3170848 52.50124679908806)
POINT(13.383130299999998 52.522741499087445)
POINT(13.333832999999998 52.504116299088)
POINT(13.3117068 52.47862159908878)
POINT(13.3254182 52.50223379908804)
POINT(13.369081 52.52533619908737)
POINT(13.3235042 52.4970423990882)
POINT(13.390419499999998 52.51745089908759)
POINT(13.3485026 52.51332479908771)
POINT(13.169329699999999 52.53056899908722)
POINT(13.472489499999998 52.464071199089275)
POINT(13.293039699999998 52.525678699087365)
POINT(13.416020600000001 52.431865899090475)
POINT(13.2843005 52.65908709908473)
POINT(13.449003799999998 52.50869149908786)
POINT(13.424002900000001 52.54270069908691)
POINT(13.307997299999998 52.516977399087615)
